,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,south side,moby feat. gwen stefani,49bUJjrC16NgnrgGS75Yan,1,0.61,0.723,4.0,-7.572,1.0,0.0422,0.0103,0.0447,0.0748,0.45,97.147,229733.0,4.0
33,don’t tell me,madonna,7DOtIhTTpPZyjvbO509hSC,1,0.699,0.618,7.0,-7.338,1.0,0.0594,0.0502,0.000925,0.0914,0.679,99.965,280973.0,4.0
34,get ur freak on,missy elliott,6zsk6uF3MxfIeHPlubKBvR,1,0.797,0.75,0.0,-9.369,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0,4.0
35,crazy,k-ci and jojo,74irxdVWstNlEQjsvArITq,1,0.37,0.866,6.0,-3.879,0.0,0.0384,0.0868,0.0,0.137,0.427,162.086,316693.0,3.0
36,fill me in,craig david,0UzsDmdpw0Q14KU4hieQss,1,0.682,0.744,8.0,-6.981,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,257200.0,4.0
37,someone to call my lover,janet jackson,43zr9kKkeiQrshvYuvNtfM,1,0.738,0.914,2.0,-4.203,1.0,0.0434,0.144,0.00099,0.182,0.935,127.885,272360.0,4.0
38,with arms wide open,creed,0eKyHwckh9vQb8ncZ2DXCs,1,0.41,0.539,0.0,-8.412,1.0,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800.0,4.0
39,case of the ex (whatcha gonna do),mya,1ak0S3NhwWrUgNlQhJ1412,1,0.774,0.684,1.0,-4.721,0.0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827.0,4.0
40,all or nothing,o-town,1TBIHWmr1r34J2s0eSfA7U,1,0.644,0.473,0.0,-5.201,1.0,0.0282,0.205,0.0,0.183,0.252,126.925,281427.0,4.0
41,bootylicious,destiny’s child,41nT1Sp6ChR65FbsdLlFHW,1,0.84,0.835,1.0,-4.386,0.0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,207907.0,4.0
42,i’m like a bird,nelly furtado,2aGw77pZqli064JiPuXYRi,1,0.623,0.607,10.0,-5.113,1.0,0.0353,0.147,3.29e-06,0.227,0.614,89.654,243160.0,4.0
43,kryptonite,3 doors down,6ZOBP3NvffbU4SZcrnt1k6,1,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933.0,4.0
44,fiesta,r. kelly feat. jay-z,77S8pBH3ilaDIPmTJkRNQn,1,0.92,0.487,10.0,-5.578,0.0,0.182,0.0103,0.0,0.0411,0.806,92.836,241400.0,4.0
45,when it’s over,sugar ray,5ZsPy9wHH733NlU6c4v2Hi,1,0.675,0.775,4.0,-5.772,1.0,0.0522,0.0387,0.0,0.383,0.933,99.945,217853.0,4.0
46,jaded,aerosmith,4iihDHIoKZdOeOW1kFDUtR,1,0.517,0.89,9.0,-4.033,1.0,0.0539,0.005,1.47e-05,0.0824,0.632,118.009,214333.0,4.0
47,promise,jagged edge,1X1KDnhTnb28tpJlgOV3lD,1,0.751,0.568,5.0,-5.431,0.0,0.0872,0.136,0.0,0.0288,0.646,128.002,246720.0,4.0
48,missing you,case,0CmXXEwul09Kf8X68lPA5l,1,0.612,0.579,1.0,-6.417,0.0,0.0553,0.285,0.0,0.0556,0.716,86.31,284667.0,4.0
49,differences,ginuwine,0Uyh92tLyb9JawG8lmWCzJ,1,0.562,0.594,3.0,-4.578,0.0,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0,4.0
50,this i promise you,‘n sync,46n2EGFnPC3tzWCN1Aqe26,1,0.55,0.587,2.0,-6.279,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,284760.0,4.0
51,izzo (h.o.v.a.),jay-z,4h5KBcltGefua73AUPYps7,1,0.618,0.844,1.0,-4.051,0.0,0.342,0.0178,0.000126,0.0634,0.697,84.411,240627.0,4.0
52,superwoman pt. ii,lil’ mo feat. fabolous,6KCOOKsDFfGEiwWZZlEI6O,1,0.768,0.541,6.0,-5.183,0.0,0.1,0.286,0.0,0.107,0.645,95.715,265588.0,4.0
53,crazy for this girl,evan and jaron,2gdt70w8DOCWGq1HdkgSUd,1,0.457,0.926,0.0,-5.461,1.0,0.038,0.000487,5.69e-05,0.0949,0.41,93.964,202027.0,4.0
54,nobody wants to be lonely,ricky martin and christina aguilera,45cVyfWuMAg8RNxmkcpmy9,1,0.635,0.854,10.0,-5.02,0.0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,252707.0,4.0
55,i just wanna love u (give it 2 me),jay-z,0s46SltT4On0Z6kglK1I5c,1,0.8,0.922,4.0,-5.125,0.0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,227867.0,4.0
56,one minute man,missy elliott,0jG92AlXau21qgCQRxGLic,1,0.622,0.669,9.0,-8.419,1.0,0.329,0.0266,2.97e-06,0.152,0.57,93.839,252987.0,4.0
57,danger (been so long),mystikal feat. nivea,0e42i89bY2NmPuVDtey8pg,1,0.92,0.861,7.0,-5.435,1.0,0.218,0.211,2.59e-05,0.0288,0.718,97.969,211400.0,4.0
58,only time,enya,6FLwmdmW77N1Pxb1aWsZmO,1,0.418,0.249,3.0,-13.744,1.0,0.0301,0.841,0.661,0.112,0.213,82.803,218547.0,4.0
59,i do!!,toya,0NdEFLohwfZpyncrBCq1ZY,1,0.781,0.583,6.0,-7.83,0.0,0.0628,0.0859,0.00216,0.058,0.91,156.264,213493.0,4.0
60,never had a dream come true,s club 7,1rzssdgfZiGs7VAMsYN9SF,1,0.636,0.531,5.0,-5.593,1.0,0.0273,0.508,0.0,0.0952,0.496,122.918,240640.0,4.0
61,stranger in my house,tamia,08GOEVXupC6ECbulhPGQKm,1,0.676,0.601,0.0,-4.905,1.0,0.0297,0.103,0.0,0.147,0.206,119.94,285387.0,4.0
62,irresistible,jessica simpson,2TVSa07y6g3HRn4oLWv57M,1,0.659,0.966,8.0,-2.783,0.0,0.0538,0.0279,8.25e-05,0.0489,0.687,93.008,193600.0,4.0
63,heard it all before,sunshine anderson,0xikWgPgYN9BEes0ieZ8Co,1,0.697,0.925,3.0,-4.209,0.0,0.216,0.0614,0.0,0.095,0.678,96.951,295827.0,4.0
64,the space between,dave matthews band,65KzDXZm9aQt8sA1k0ZVG3,1,0.406,0.73,9.0,-6.278,1.0,0.0315,0.0471,0.0,0.229,0.207,170.032,242000.0,4.0
65,there you’ll be,faith hill,1s2khOWzC99udpUaPICLJI,1,0.325,0.532,8.0,-7.208,1.0,0.0308,0.496,0.0,0.134,0.162,129.021,220840.0,4.0
66,love,musiq soulchild,6uSa5iCMwPr10Ftpz8w09b,1,0.569,0.385,1.0,-9.919,0.0,0.0499,0.342,0.0,0.0876,0.339,99.738,304667.0,4.0
67,it’s over now,112,769geiA8btidGHda4BBDOJ,1,0.66,0.71,1.0,-4.541,1.0,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,264933.0,4.0
68,no more (baby i’ma do right),3lw,5zn1hpm9N0ylKB7kOtpCw2,1,0.721,0.723,2.0,-7.08,0.0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440.0,4.0
69,turn off the light,nelly furtado,4gM2BugovNf4bvXdjZODzG,1,0.589,0.687,2.0,-6.222,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,276067.0,4.0
70,play,jennifer lopez,7fFCnttacpotkyhTOxKv14,1,0.775,0.729,1.0,-4.229,0.0,0.162,0.0303,0.00247,0.0361,0.895,104.719,211493.0,4.0
71,i’m already there,lonestar,6qc34bnVOyqGDPni8H5W0U,1,0.561,0.543,1.0,-8.498,1.0,0.0324,0.26,0.0,0.124,0.243,139.803,240867.0,4.0
72,my baby,lil’ romeo,6epn3r7S14KUqlReYr77hA,1,0.728,0.859,5.0,-5.237,0.0,0.137,0.0401,0.0,0.111,0.535,65.043,214240.0,4.0
73,beautiful day,u2,1VuBmEauSZywQVtqbxNqka,1,0.539,0.926,2.0,-6.495,1.0,0.0499,0.014,0.00136,0.36,0.454,136.279,246400.0,4.0
74,austin,blake shelton,2WQAknZHrJAEQOFXe0F44P,1,0.605,0.609,7.0,-7.063,1.0,0.0278,0.188,0.0,0.0982,0.275,119.914,230333.0,4.0
75,southern hospitality,ludacris,4cNhx6OO1XpvwT6xZnb83B,1,0.623,0.896,0.0,-4.719,1.0,0.247,0.035,0.0,0.0941,0.613,95.158,300933.0,4.0
76,grown men don’t cry,tim mcgraw,4RtDZMumlKxsN7IL3AJPUx,1,0.657,0.513,10.0,-8.514,1.0,0.024,0.199,0.0,0.0994,0.56,101.815,235760.0,4.0
77,livin’ it up,ja rule feat. case,4ToZV7r72wSbVrljaLSp13,1,0.875,0.774,6.0,-4.087,1.0,0.309,0.0547,0.0,0.0414,0.606,106.027,257133.0,4.0
78,loverboy,mariah carey feat. cameo,75b9JVzc4QFvPBO7jDRIVe,1,0.721,0.79,1.0,-4.125,1.0,0.124,0.183,0.0,0.1,0.821,103.141,229173.0,4.0
79,contagious,isley brothers,2A3rpB8ZDbBG7ecVUDIcsE,1,0.688,0.52,1.0,-9.894,0.0,0.424,0.602,0.0,0.168,0.443,82.809,150065.0,4.0
80,who i am,jessica andrews,0rK4HCKzv2r1IXqKX3DKpq,1,0.463,0.674,7.0,-5.422,1.0,0.0319,0.0115,0.0,0.123,0.259,84.039,255234.0,4.0
81,music,erick sermon feat. marvin gaye,6IFOw9Ck9mWHRQgw6QrPYx,1,0.897,0.466,10.0,-9.053,0.0,0.203,0.187,1.35e-06,0.0757,0.884,100.01,223133.0,4.0
82,i wanna be bad,willa ford,6f67kjvFmXZTA47K8JNVBU,1,0.647,0.818,9.0,-3.47,0.0,0.0647,0.234,1.89e-05,0.216,0.816,180.019,183560.0,4.0
83,don’t happen twice,kenny chesney,04ccQGJ1i8gL7JoeCPiJbv,1,0.499,0.708,7.0,-7.029,1.0,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785,203067.0,4.0
84,one more day,diamond rio,3TNoNv8Z80M3pfm6CcODsh,1,0.668,0.405,4.0,-7.629,1.0,0.0277,0.592,0.0,0.115,0.234,131.064,216173.0,4.0
85,i wish,r. kelly,7sOqd1dVmfU5mgqrUtlqc5,1,0.42,0.463,6.0,-9.056,1.0,0.12,0.068,0.0,0.119,0.659,78.83,334000.0,4.0
86,it’s a great day to be alive,travis tritt,3oW6SWwGqiZSPTiAp7ZQoH,1,0.595,0.653,7.0,-4.935,1.0,0.0265,0.246,0.0,0.264,0.542,128.93,241533.0,4.0
