,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
464,Cheap Thrills - 128 BPM Workout Remix,Jayne Mendez,7DpMDhnJ7sVr52IZynI79X,0,0.674,0.919,6.0,-4.016,0.0,0.132,0.125,0.0,0.0354,0.871,127.933,245730.0,4.0
465,Workingman's Blues #2,Bob Dylan,1Uio0ESSDWy3GEe3vpPBiM,0,0.676,0.581,9.0,-7.622,1.0,0.0324,0.645,0.0,0.109,0.509,131.237,367427.0,4.0
466,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",Edvard Grieg,3gCYBFexR8dQZWeu4F15eu,0,0.172,0.014,1.0,-27.988,1.0,0.0424,0.981,0.902,0.0735,0.0348,144.414,398240.0,3.0
467,Sticks 'N' Stones,Jamie T,1khoSOxg6VHzvRlVkczrbl,0,0.545,0.851,6.0,-3.569,1.0,0.0935,0.0572,0.0,0.403,0.787,179.947,240833.0,4.0
468,Me & Mr Jones,Amy Winehouse,0RfzQhbvtn5lOaKdhpAni7,0,0.583,0.486,4.0,-13.165,1.0,0.0759,0.518,0.0,0.0665,0.513,87.837,153173.0,4.0
469,Beam Me Up feat. Charlene Soraia & Scuba,Will Saul,07t4QEXLQnmHxhsijMwvrJ,0,0.654,0.836,11.0,-9.022,0.0,0.0411,0.0304,0.395,0.105,0.0895,114.992,407408.0,4.0
470,The Relaxation Specialists,Relajación y Serenidad,3nlsSde1kE8bJ3QX7Uj8GU,0,0.395,0.995,6.0,-24.074,1.0,0.0442,0.698,0.939,0.941,0.00372,96.061,348000.0,4.0
471,"Mindfulness, Framing and Reframing",Mindfulness Meditation Music Spa Maestro,3PJkbFCEEN0084lWlw73QX,0,0.573,0.115,2.0,-23.05,1.0,0.0363,0.978,0.899,0.0832,0.258,139.939,234000.0,4.0
472,Le Sacre du Printemps / Pt 1: L'Adoration de la Terre: 2. Les augures printaniers - Danses des adolescentes - Live,Igor Stravinsky,2FUYtOgJwixknWqeNre3vB,0,0.509,0.287,8.0,-16.652,0.0,0.037,0.96,0.926,0.522,0.385,104.247,205587.0,4.0
473,Seekers and Finders,Gogol Bordello,6jF5Ey2WjfjPUPqjZsEJVL,0,0.429,0.723,11.0,-6.603,0.0,0.049,0.0618,0.000174,0.0985,0.487,96.259,184804.0,4.0
474,"Facts (feat. YG, Rich The Kid & BIA)",Chantel Jeffries,2k5W7eyzobMFd1a1Xisf3w,0,0.7,0.579,5.0,-6.543,0.0,0.255,0.271,0.0,0.103,0.745,199.987,207568.0,4.0
475,The Moon Song - Film Version,Scarlett Johansson,2tr9JHGOa5ZRar7IedAiQc,0,0.626,0.0654,0.0,-17.089,1.0,0.0405,0.994,0.000662,0.106,0.724,95.303,110920.0,4.0
476,Hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,0,0.534,0.392,9.0,-7.636,0.0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533.0,4.0
477,Closer to the Light - The Mumbai Odyssey Mix,Mathieu & Florzinho,2IXgweTmpzz7kZbufpjGUu,0,0.469,0.729,0.0,-7.609,1.0,0.0448,0.0256,0.00968,0.91,0.454,166.028,323500.0,4.0
478,Texas Gales & Blackberry Rag,Clarence White,5lahWev2flDQskqMtkCcAd,0,0.543,0.371,2.0,-16.954,1.0,0.0387,0.908,0.752,0.274,0.845,122.836,79587.0,4.0
479,Love Pledge and the Arena,John Williams,45DuBzsgfiterhMTTsewpH,0,0.225,0.306,2.0,-16.153,0.0,0.0398,0.584,0.859,0.106,0.0537,92.732,510187.0,4.0
480,Programs & Vectors,Unit,2UYn9ktBQuABUJXREpyOw1,0,0.699,0.66,1.0,-8.925,1.0,0.041,0.00711,0.8,0.1,0.101,126.991,476230.0,4.0
481,Fly Away,Tones And I,5ri4zqtWhG07hIuNNDWP76,0,0.806,0.513,4.0,-6.208,1.0,0.0685,0.217,0.0,0.217,0.503,124.988,178157.0,4.0
482,Momentary Bliss (feat. slowthai and Slaves),Gorillaz,5zZWKugaE2ZmnZN77HVfUH,0,0.641,0.807,9.0,-6.73,1.0,0.239,0.0851,2.38e-05,0.64,0.712,158.071,221386.0,4.0
483,Attention Deficit Disorder - Instrumental,Apathy,4zjf03s5TwFtukZrKmdn3p,0,0.714,0.538,7.0,-11.861,1.0,0.0884,0.195,0.00819,0.0925,0.546,127.971,139687.0,4.0
484,Shots & Squats,Vigiland,5nIrdpo8eXQU3YgZelEXkd,0,0.807,0.812,5.0,-5.009,0.0,0.106,0.00773,0.000501,0.236,0.242,128.012,171799.0,4.0
485,Equality7-2521,7and5,0VEu22KK78Yh677yzHGr1e,0,0.552,0.629,9.0,-10.041,1.0,0.0294,0.659,0.853,0.074,0.482,140.028,243263.0,4.0
486,Macrocosm,HeXeN,76OpMrzFpcLHVC1XK3WUuA,0,0.481,0.821,6.0,-7.331,0.0,0.0338,0.0001,0.706,0.0995,0.108,100.048,152507.0,4.0
487,"And You and I - Live at Cameron Indoor Stadium, Durham, North Carolina November 11, 1972",Yes,5PYq8t6Js6CojRKtxvelHo,0,0.293,0.386,9.0,-16.712,1.0,0.0399,0.287,0.00211,0.958,0.189,110.003,595320.0,4.0
488,Photograph,Ringo Starr,2ySUQ9ISDdxy2HcU1iTta3,0,0.638,0.832,4.0,-8.127,1.0,0.0258,0.0389,7.5e-05,0.136,0.934,111.249,238960.0,4.0
489,Jesus Christ,Brand New,72ccSGl5YcEWm0vhtVpi25,0,0.657,0.733,11.0,-5.395,0.0,0.0264,0.302,0.158,0.254,0.263,88.496,318267.0,4.0
490,Wipe Those Prints and Run,Beulah,4WeaVZXRlh1HRtx08W94nZ,0,0.48,0.442,7.0,-7.703,1.0,0.0277,0.0774,0.438,0.142,0.215,107.974,455107.0,4.0
491,Botheration - Reggae Version,Justin Hinds & The Dominoes,5E8rGBEtO1erEnOjpmaT39,0,0.79,0.529,7.0,-7.741,1.0,0.391,0.531,0.0177,0.145,0.966,76.124,131640.0,4.0
492,"Don't Cry For Me Argentina - From ""Evita""",Julie Covington,1OxDEvjPoQrNhZ5c3tTxSu,0,0.235,0.213,1.0,-8.764,1.0,0.0339,0.828,5.07e-05,0.113,0.153,70.075,324720.0,4.0
493,Nigeria Kanyi Jikotta,Chief Stephen Osita Osadebe,5hWORnclSSrgDOCCOboSud,0,0.589,0.734,8.0,-6.135,0.0,0.123,0.686,0.00682,0.539,0.886,118.001,1113809.0,4.0
494,Conviction Song,moe.,0GlBts41K7huFmxeFY1j7c,0,0.497,0.471,9.0,-6.28,0.0,0.0285,0.0596,0.00348,0.0986,0.338,121.819,304467.0,4.0
495,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,6stSUCyAY8mfBX00Nc5UuI,0,0.832,0.648,7.0,-6.383,0.0,0.37,0.532,0.0,0.0705,0.624,120.933,217867.0,4.0
496,Mechanical Bass,Ultra Sheriff,63MqrRM4DnL56fI2CxeJ3e,0,0.486,0.908,2.0,-9.124,1.0,0.0403,5.4e-05,0.547,0.0812,0.139,116.973,249382.0,4.0
497,Bought That,Chino Montana & Chingo Bling,3SIN4fYYKHirRb1MhZAZ0r,0,0.808,0.512,8.0,-11.301,1.0,0.164,0.0329,0.0,0.293,0.662,79.99,198087.0,4.0
498,Again (Fullmetal Alchemist Brotherhood),Kato,4AGtu7sUJLU130YQrq6B1d,0,0.809,0.126,4.0,-11.467,0.0,0.0477,0.831,0.958,0.112,0.29,99.969,103946.0,4.0
499,Nearly Witches (Ever Since We Met...),Panic! At The Disco,2KA3lvDwQQiyvuJJvzifGL,0,0.6,0.614,8.0,-4.688,1.0,0.0885,0.00669,0.0,0.166,0.341,121.965,256467.0,4.0
500,Halottkísérő #2 (Funeral Attending #2),János Pulika,4Cg6CYzrnGrxLC8bmE9H6i,0,0.22,0.217,8.0,-12.372,0.0,0.0366,0.977,0.0506,0.294,0.312,137.135,142413.0,5.0
501,Corazón Atómico,Zoé,0axbGyJYPGhzVaxzm6cHcq,0,0.462,0.697,11.0,-7.762,0.0,0.0389,0.62,0.00878,0.103,0.357,93.034,234387.0,4.0
502,Paw Paw Drive Thru Password,Rick & Bubba,7iQi5TXs6XcpFMmfwPEPF6,0,0.719,0.299,10.0,-13.826,1.0,0.928,0.823,0.0,0.402,0.812,117.632,288613.0,5.0
503,"Cosmic Greenhouse, #3: Heal and Align the Body",Wendy Von Oech,5V7QkCQqXphWzKh227uac7,0,0.323,0.0487,8.0,-23.384,0.0,0.0533,0.825,0.00494,0.0673,0.152,79.685,1620000.0,3.0
504,Educational Professional,Prateek Srivastava,5nSMyVtQvCoVbjJeCpAteU,0,0.644,0.376,4.0,-9.646,0.0,0.951,0.898,0.0,0.656,0.419,87.448,310000.0,4.0
505,Rights & Responsibilities,Selekt Few,0Yb8fV4y3uEtZc3T4aHpkC,0,0.844,0.521,5.0,-7.514,0.0,0.206,0.0557,4.56e-05,0.131,0.284,88.984,282267.0,4.0
506,"Valses Poéticos H. 147, DLR 7:8: No. 1: Melódico",Enrique Granados,4IDoLojf0Dlo8YZSApX0ps,0,0.364,0.0168,9.0,-30.789,1.0,0.0591,0.98,0.883,0.0825,0.149,148.709,96520.0,4.0
507,Calculation - Bodyscrub & Monolyth Remix,Simone Tavazzi,4y2lXzE5eA0s3ssXBOttAD,0,0.656,0.92,6.0,-10.337,1.0,0.098,0.00287,0.912,0.0848,0.462,133.002,415500.0,4.0
508,First and Second Attempt,Johan Söderqvist,5xOwLuXceKH9aS9tVqxRzr,0,0.239,0.385,5.0,-19.24,0.0,0.039,0.901,0.913,0.0812,0.109,87.892,168568.0,4.0
509,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2007 Remaster; Single Edit",Eric Clapton,4ibOxUxg1huJ9vZTgzY6Jl,0,0.564,0.543,2.0,-9.011,0.0,0.0379,0.327,0.000431,0.898,0.642,93.721,279067.0,4.0
510,Optimize (feat. Tommy Lee & DJ Aero),Nick Thayer,62xe8urUm3LYS9Mx8sAcdt,0,0.705,0.728,2.0,-6.729,1.0,0.0486,0.00386,0.786,0.922,0.383,109.975,259636.0,4.0
511,"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",Mark Keali'i Ho'omalu,7GmiJVBAzWNikX5VkNQg85,0,0.702,0.624,5.0,-9.927,1.0,0.0285,0.314,0.0152,0.0669,0.947,114.542,208227.0,4.0
512,"100 Bands (feat. Quavo, YG & Meek Mill)",Mustard,16ZzQo8IFilZ2gHizvGB5A,0,0.86,0.486,1.0,-6.533,0.0,0.401,0.00755,0.0,0.0975,0.126,92.976,135547.0,4.0
513,Show & Tell,Said The Sky,2uoWHninMACac1KBFn8rXQ,0,0.667,0.86,1.0,-3.74,1.0,0.0531,0.235,0.0,0.135,0.463,150.111,185600.0,4.0
514,Dog Statistical and Deal Only,Lotus Evan,6NeswEMsOxnHJ2XSYEXuwC,0,0.373,0.0629,6.0,-21.301,1.0,0.0863,0.847,0.99,0.068,0.0385,117.761,59995.0,4.0
515,"How To Be A Player (feat. T.I., E-40 & Adrian Marcel)",Too $hort,7CQw15dGpjLtGT8klz9iUa,0,0.519,0.864,5.0,-4.815,1.0,0.502,0.159,0.0,0.14,0.636,78.372,239806.0,4.0
516,A Little Less Talk And A Lot More Action,Toby Keith,7ojVoUWBAUP701iFpdKnFu,0,0.72,0.918,9.0,-3.225,1.0,0.0408,0.229,0.0,0.159,0.955,125.091,169400.0,4.0
517,Pipe That (feat. Icona Pop & The Soul Rebels),Big Freedia,2PZSDlMj55mheRfBELyAsy,0,0.668,0.993,2.0,-1.588,1.0,0.22,0.012,0.0068,0.333,0.27,105.0,170154.0,4.0
518,Blackberry Blossom,Andy Garrett,1oAwnyjptg8cWLSxnM7oxi,0,0.535,0.514,4.0,-15.507,0.0,0.0311,0.339,0.917,0.393,0.961,99.987,162248.0,4.0
519,Which Side Are You On?,Clyde and the Milltailers,5nR5E6LfZDOF84iUBul8Um,0,0.726,0.909,2.0,-3.503,0.0,0.0363,0.451,2.52e-06,0.322,0.966,135.919,189334.0,4.0
520,Analytical & Open,Gallery 47,6ChN7DJouV29z7LwDiL90X,0,0.616,0.446,5.0,-10.9,1.0,0.0299,0.687,0.0151,0.14,0.761,160.01,174135.0,4.0
521,"Slaves & Bulldozers - Live At Kaiser Convention Center, Oakland/1996",Soundgarden,0gjwtfG2lLvCYjcYuezbSw,0,0.384,0.662,7.0,-9.865,1.0,0.033,0.000431,0.385,0.928,0.341,142.705,555427.0,4.0
522,El Federal De Caminos,El Coyote Y Su Banda Tierra Santa,7l6CFHlttQa9RzrLvJqqnB,0,0.672,0.5,0.0,-5.577,1.0,0.0387,0.689,0.0,0.346,0.981,107.886,146733.0,4.0
523,"The Fox, The Crow And The Cookie",mewithoutYou,4SenxwCmSCIXfklUvmXyNc,0,0.531,0.879,9.0,-3.943,1.0,0.0769,0.264,0.0,0.347,0.863,92.537,210907.0,4.0
524,Confident,Miriam-Teak Lee,7AeC76ymLP01KJE5rbWZL0,0,0.649,0.737,1.0,-6.622,0.0,0.0462,0.00969,1.5e-06,0.0513,0.269,134.942,200891.0,4.0
525,Love and Be Loved,Zenesoul,48Zho9HnU486cLIOYegCBI,0,0.691,0.258,5.0,-10.463,1.0,0.0323,0.623,3.6e-06,0.077,0.329,106.155,207203.0,3.0
526,I Will Live / Whose Report Shall You Believe,Israel & New Breed,6yT3DnPTyPdw1UFuANNIaa,0,0.55,0.876,5.0,-4.708,0.0,0.079,0.00493,0.0,0.669,0.233,96.993,441493.0,4.0
527,"Massaging Your Brain, Pt. 2: Of Calm Hand Movements & Brain Removal",Ephemeral Rift,2Suihjpo7RwkDjEQfqxoC5,0,0.416,0.151,1.0,-37.126,1.0,0.573,0.739,0.0,0.441,0.0392,171.909,597215.0,3.0
528,MAC & CHEESE,REI AMI,1Jo3yW1tWC4JSjGS2s2DPy,0,0.896,0.551,6.0,-8.844,0.0,0.176,0.0568,0.114,0.251,0.63,122.058,135344.0,4.0
529,Government Hooker,Lady Gaga,163qYiv7eLxiExe5FwUZqm,0,0.672,0.804,7.0,-6.778,1.0,0.0365,0.00019,0.0603,0.689,0.496,119.979,254267.0,4.0
530,Followed By Light,Andrew Rayel,2aLaiciLQOGuL7BfgyhDSD,0,0.475,0.799,4.0,-4.02,1.0,0.0643,0.0698,0.724,0.305,0.0443,134.0,277612.0,4.0
531,"Freestyle (feat. C-Rayz Walz, Gauge, Breez Evahflowin' and Loer Velocity)",DL,0X4srAVNCrghwp3vqzLxk2,0,0.532,0.673,1.0,-8.257,1.0,0.294,0.0784,0.0,0.0725,0.887,92.504,227013.0,4.0
532,Ivor Cutler Suggests We Join the Noise Abatement Society...,State Broadcasters,45SagOIFJ5urge9oqZC4zq,0,0.72,0.192,0.0,-20.179,1.0,0.0508,0.89,0.919,0.0936,0.252,117.209,104933.0,4.0
533,Pursuit,David Arnold & Michael Price,1rdBKA5JswPF7F5ZIsGCW2,0,0.496,0.664,7.0,-12.274,0.0,0.0428,0.0437,0.823,0.103,0.166,120.021,109693.0,4.0
534,D´r Herbscht,Kaos Plus Duo,4WT7bHSkKoPPSVqMHYYr8C,0,0.641,0.407,0.0,-16.988,1.0,0.0707,0.214,3.58e-05,0.772,0.319,121.379,268000.0,4.0
535,"Don't Mess with My Man (feat. Brian Casey, Brandon Casey & Mystikal) - Bryan-Michael Cox Remix",Nivea,3oOLUDZhHEb6VcxgvWZ0bO,0,0.651,0.814,11.0,-4.108,0.0,0.307,0.151,0.0,0.368,0.924,199.97,232853.0,4.0
536,E-GIRLS ARE RUINING MY LIFE!,CORPSE,7bCfHiRcfUjG0YVVNUL7Ve,0,0.614,0.937,1.0,-7.443,1.0,0.115,0.00161,0.00136,0.103,0.386,84.98,105176.0,4.0
537,Teenage Dirtbag (feat. Jaz Sinclair & Lachlan Watson),Ross Lynch,7G4CfoXodjVqn15ivV049t,0,0.572,0.623,4.0,-5.944,1.0,0.0397,0.0132,0.0,0.126,0.43,95.146,216707.0,4.0
538,Oakland Raiders,Luniz,0TxkewaT2UKn2fJkpD59KY,0,0.584,0.857,11.0,-3.077,0.0,0.462,0.297,0.0,0.273,0.763,87.09,288827.0,4.0
539,Stars and Molecules,Circulatory System,6u45SOX2KkNx9xbuhlGWub,0,0.346,0.517,11.0,-10.769,1.0,0.0712,0.00892,0.00297,0.376,0.194,108.855,185987.0,4.0
540,"G.M.P (Geometry, Mobility, and Priority) / N.T.P",yoku-t,46sPRZSn31CkgNmOjMRYai,0,0.414,0.897,0.0,-7.205,0.0,0.0381,0.00123,0.774,0.646,0.174,144.99,340586.0,4.0
541,Bonjour la 3 (Ouverture des programmes de FR3),Francis Lai,7uPkgJqZSzvmTcAYz58X77,0,0.288,0.177,0.0,-19.841,1.0,0.036,0.0195,0.891,0.162,0.484,81.658,83000.0,3.0
542,Especially Espresso,Memoirs of a Coffee House,4CXkMlNX90V3EFZ5gvvuql,0,0.58,0.179,7.0,-26.455,1.0,0.0555,0.307,0.934,0.12,0.865,84.958,115767.0,4.0
543,I Can't Even Walk (Without You Holding My Hand) [Acoustic Bonus Track] (feat. Carl Johnson & Sheila Johnson),Cody Johnson,4RoGlS3TB6u8uXAFG4rHLY,0,0.567,0.186,4.0,-9.881,1.0,0.0269,0.901,0.0,0.0972,0.422,76.984,230373.0,3.0
544,Autumn in Connecticut,Kelli O'Hara,5WYJU0Yaeel7wO1cQBxGxU,0,0.373,0.272,11.0,-9.202,1.0,0.0637,0.859,3.65e-06,0.185,0.429,176.302,200627.0,4.0
545,Laid-Back Atmosphere for Deep Sleep and Music Therapy,Deep Sleep Music Therapy,0LGKh36fHPC3hS93LmCs3I,0,0.195,0.0117,4.0,-30.075,0.0,0.0661,0.995,0.981,0.0857,0.0386,69.226,193562.0,4.0
546,Warriors (She-Ra and the Princesses of Power),AJ Michalka,1VQTA3jeKZ9ul94xroHmbz,0,0.576,0.636,9.0,-6.033,0.0,0.0353,0.274,1.88e-06,0.0863,0.157,115.033,210253.0,4.0
547,Rest Employed - A Cappella,The Stupendium,3gWMlb1GYhZIjD6waJSvrb,0,0.862,0.663,6.0,-6.316,1.0,0.225,0.467,0.0,0.708,0.818,85.949,206512.0,4.0
548,Strange Conventions,Static Therapy Research,54qqlKhBhDOhbMOdTD1qRy,0,0.151,0.0144,4.0,-33.087,1.0,0.0528,0.869,0.724,0.111,0.0294,136.022,145714.0,4.0
549,And the Grass Grows by Itself,Karunesh,6ojkPonPPx5yYTFmjyXY1j,0,0.375,0.313,0.0,-13.974,1.0,0.0386,0.289,0.0318,0.318,0.0495,89.922,343493.0,4.0
550,Bedroom Killa,Lega,5Y402de5rhTuzZVSeMHQuK,0,0.511,0.723,8.0,-6.731,0.0,0.0638,0.489,2.12e-05,0.145,0.782,96.78,180453.0,4.0
551,Morocco Dance,Phil Thornton,0A0LBelJFLlZ6xfoRBDLq5,0,0.401,0.188,2.0,-18.582,1.0,0.0805,0.27,0.75,0.141,0.369,80.035,97507.0,3.0
552,High (& Dua Lipa),Whethan,3dD9yyYTQ73SZvyOygyKva,0,0.708,0.552,10.0,-5.552,0.0,0.21,0.0922,0.0,0.0541,0.686,147.834,196707.0,4.0
553,First Class,Rainbow Kitten Surprise,7trx783SvnHhKkmgSSTIFJ,0,0.554,0.337,1.0,-10.189,1.0,0.0351,0.581,0.0,0.0871,0.216,89.961,343485.0,4.0
554,Dream Aria - Genshin Impact Main Theme Var.,Yu-Peng Chen,602vSjoSXpRqpIFdaGEoW1,0,0.233,0.0415,11.0,-26.802,1.0,0.0452,0.992,0.467,0.105,0.0565,63.733,98746.0,5.0
555,Empirical Synth,John & The Volta,4mxVzEEyf3zJiomUp3uFxP,0,0.694,0.771,9.0,-7.28,0.0,0.0305,0.346,0.819,0.127,0.675,120.001,191000.0,4.0
556,Moon & Stars (feat. Maggie Lindemann),$NOT,3oGbHF3Kdwf3AsRCbBjUxu,0,0.713,0.47,9.0,-8.698,1.0,0.0864,0.606,1.35e-05,0.306,0.0825,84.518,187587.0,4.0
557,Aries (feat. Peter Hook and Georgia),Gorillaz,25Gp0MpGdvrs4hL1u4L2TF,0,0.615,0.667,2.0,-7.801,1.0,0.0345,0.0175,0.0844,0.241,0.795,120.006,253333.0,4.0
558,Good Ol' Fashion Nightmare,Matt and Kim,0ABcouSb4Fk8XbbEH1i0Ek,0,0.648,0.959,6.0,-5.079,1.0,0.0348,0.000407,0.0647,0.153,0.847,102.494,209667.0,4.0
559,"Refreshing Rain in Barcelona, Spain",Nature Sounds,3nmbSjk14ksMqp6lZkJCCu,0,0.0,0.995,11.0,-26.484,1.0,0.0,0.995,0.366,0.843,0.0,0.0,599373.0,0.0
560,Sunset Soon Forgotten,Iron & Wine,0mcWKziW0mw318C9s5dA3m,0,0.458,0.408,9.0,-11.652,1.0,0.0308,0.943,0.646,0.119,0.706,89.949,199987.0,4.0
561,Closure - Mecha Remix,Asking Alexandria,6b3LDoo2lpnZMR7nsjpDjf,0,0.482,0.993,8.0,-2.427,1.0,0.0783,2.9e-05,0.15,0.627,0.342,140.048,250932.0,4.0
562,And Instant Messaging,Fairy Lava,47VDUhxBzf7TOSV1RoJe75,0,0.225,0.111,9.0,-27.649,0.0,0.0391,0.977,8.35e-06,0.153,0.0775,108.56,61000.0,3.0
563,Forget And Not Slow Down,Relient K,6FxlUqYaDJYVbkkfqCyNeu,0,0.424,0.931,3.0,-3.958,1.0,0.0487,0.00284,0.0,0.13,0.75,169.026,202213.0,4.0
564,Real Muthaphuckkin' G's,Eazy-E,53BZ6XygAoubR5DU5w38Vq,0,0.724,0.853,11.0,-3.895,0.0,0.283,0.0164,0.0,0.65,0.775,170.51,332733.0,4.0
565,Intersections,Antoine Dufour,4IdNUV7thfGYffi9XvIDMu,0,0.252,0.69,0.0,-13.395,0.0,0.0359,0.821,0.913,0.124,0.294,169.91,281000.0,5.0
566,Amydst the Myst,Twiddle,3iSWWKFwqxERTv8YCiWi2V,0,0.435,0.822,5.0,-5.465,1.0,0.0427,0.311,4.61e-06,0.189,0.77,95.166,270921.0,4.0
567,Briefcase,Curren$y,4e7bVkoZbrIS3MFKzOUvLB,0,0.609,0.792,3.0,-7.596,0.0,0.218,0.000994,0.0,0.133,0.476,76.976,208509.0,4.0
568,Inspiracion en Connecticut,Harold López-Nussa,2PV1M9q1TNnX33Mk5CD3CQ,0,0.347,0.626,1.0,-9.616,1.0,0.0313,0.704,0.879,0.14,0.237,79.246,364999.0,4.0
569,Psychedelic Sixties Protest,Chris Goulstone,1Y4YManvQl8zAFXbyOmuCl,0,0.403,0.769,8.0,-7.123,1.0,0.061,0.000681,0.0268,0.123,0.692,115.225,131387.0,4.0
570,"Bewitched, Bothered and Bewildered",David Clough Quartet,2H2rKP4bEBgT5Y7LMuIF3w,0,0.36,0.221,0.0,-13.87,1.0,0.0359,0.927,0.376,0.0896,0.139,87.336,358545.0,4.0
571,Straight Tequila Night - Re-Recorded,John Anderson,4XAxRxnY1rEgUGQujHisTv,0,0.63,0.629,9.0,-6.239,1.0,0.026,0.00537,0.0,0.262,0.562,114.145,166507.0,4.0
572,Stability - Original Mix,Liquid Ambiance,3GuoXajftvgqRfpPu9Oh4L,0,0.143,0.0344,10.0,-24.308,1.0,0.0362,0.936,0.935,0.0979,0.132,70.171,187397.0,4.0
573,Glory - Computer Numerical Control & Kobold Remix,Relapso,3S6CpccHkDi9W4sWgFgcMD,0,0.566,0.915,4.0,-7.973,0.0,0.0806,0.0247,0.806,0.106,0.325,132.024,360000.0,3.0
574,Territorial Pissings,Comeback Kid,2GYIybsAFxCjI8Yjdp9sUw,0,0.142,0.948,1.0,-5.129,0.0,0.136,1.3e-05,0.00325,0.456,0.0423,94.976,180175.0,4.0
575,Captured,Joan Joyce Trio,6B88S0fjZcvEeXQXuFTmBG,0,0.514,0.523,11.0,-10.302,0.0,0.0397,0.918,0.00714,0.112,0.474,127.151,172587.0,4.0
576,Assuming Total Responsibility,Anna Thompson,48OcpPMo9u0V0n4hfrNnKC,0,0.381,0.036,5.0,-22.044,1.0,0.0583,0.929,0.000244,0.0919,0.279,104.915,470000.0,4.0
577,Aviation and Architecture (2004),Digital Geist,3Kv5JBKDxD914UOmnNdwAN,0,0.651,0.952,10.0,-6.969,0.0,0.0601,0.107,0.909,0.153,0.297,120.0,434000.0,4.0
578,Wake Me Up In Traffic (feat. 03 Greedo and Drakeo the Ruler),Shoreline Mafia,7zZTXP1SZWituBpo0AgxkY,0,0.745,0.633,1.0,-6.873,1.0,0.0342,0.00231,0.0,0.102,0.208,98.037,309187.0,4.0
579,Bethany Beach/Blackberry Blossom,Ken & Brad Kolodner,6QuZjDR3RbDf2XissqZcNm,0,0.37,0.098,7.0,-27.037,1.0,0.0424,0.953,0.948,0.131,0.195,128.237,234436.0,4.0
580,Kato's Fears,Kato,7nZ4Jxsu8ZRNkPXQLrwTzu,0,0.46,0.0509,7.0,-22.182,1.0,0.0688,0.995,0.95,0.103,0.216,70.591,46869.0,4.0
581,Paso En Tampa,¡Cubanismo!,5ZvMv830sSMjQG97o9vZCW,0,0.509,0.864,7.0,-6.209,1.0,0.0431,0.596,1.16e-05,0.0884,0.946,126.268,203800.0,5.0
582,Have Your Earlier Visualizations for the Group Become a Realization? - The Lost Interview Tapes - Volume Two,The Doors,3hWkaBf03TDBgyBvbufzyD,0,0.484,0.116,9.0,-27.024,0.0,0.153,0.958,0.00523,0.11,0.456,114.194,74827.0,4.0
583,Lake Malawi (With Guitar and Nature Ambience),Tiger Lily,7B1PsKqWLR0t4ICv9l2EXv,0,0.365,0.079,11.0,-24.465,1.0,0.0438,0.912,0.0295,0.15,0.086,100.903,117030.0,4.0
584,Backroad Scholar,Moccasin Creek,4AgMHIRZneUVV6LQH3ZQp1,0,0.549,0.685,7.0,-4.726,1.0,0.0272,0.0124,0.0169,0.214,0.439,139.932,288470.0,4.0
585,Battlefield Classic Theme / Mayhem View,Johan Söderqvist,2V80yrnLBbCUrGNi4CWBu3,0,0.243,0.373,0.0,-14.558,1.0,0.0496,0.689,0.93,0.405,0.0824,114.628,195528.0,4.0
586,"Rotten Blossom - Live at The Fleece, Bristol, 2015",Frank Carter & The Rattlesnakes,5yicw4Yb4IIRMMPDCfRbCv,0,0.279,0.981,10.0,-6.446,0.0,0.135,0.00899,0.0214,0.758,0.0566,92.116,163493.0,4.0
587,"I Don't Want to Go Home - Live at Olympiastadion, Helsinki, Finland - 07/31/12",Bruce Springsteen,06l68TOlT7gdpHkjfDslbg,0,0.288,0.369,7.0,-10.609,1.0,0.041,0.714,0.0,0.31,0.356,77.517,327053.0,4.0
588,Thousand Fisting,Faith No More's Jim Martin and Anand Bhatt,3TCIvHXXLS22zh2QiSUWiq,0,0.74,0.751,1.0,-12.49,0.0,0.0556,0.000339,0.833,0.0372,0.778,150.002,341707.0,4.0
589,Medicated (feat. Chevy Woods & Juicy J),Wiz Khalifa,5OI48E8HqkN8fnTOu3Hfuf,0,0.752,0.888,1.0,-3.852,1.0,0.0362,0.0113,0.0,0.39,0.958,135.991,331013.0,4.0
590,Aging and Storage,The French Whisperer,7DGbOy9Eb1M288C1cTGuQB,0,0.648,0.0497,1.0,-34.746,1.0,0.907,0.0155,0.0,0.24,0.275,104.572,151996.0,5.0
591,Romantic and Paradise 5D,Bonita Criswell,6vNeEkRafVo0Kl6nFk9EHS,0,0.411,0.534,9.0,-16.436,1.0,0.033,0.284,0.623,0.116,0.349,179.975,198502.0,4.0
592,Disco Medley - Live From Astrodome,Selena,6p3FDqyALPpkVptF8q5bRw,0,0.592,0.977,7.0,-4.944,1.0,0.0988,0.0698,0.00499,0.709,0.306,123.785,464467.0,4.0
